NAME,DATE,OPPONENT,Goals,Assists,Points,PIMS,PPG,SHG,ENG,GWG,GTG,Shots,,,,,,,,,,,,,,
Patrick Anderson,5-Oct,Laurentian,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Patrick Anderson,11-Oct,Minn.Duluth,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Patrick Anderson,12-Oct,Minn.Duluth,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Patrick Anderson,18-Oct,NotreDame,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Patrick Anderson,20-Oct,NotreDame,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Patrick Anderson,25-Oct,NorthernMich.,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Patrick Anderson,26-Oct,NorthernMich.,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Patrick Anderson,1-Nov,Michigan,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Patrick Anderson,2-Nov,Michigan,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Brent Baltus,5-Oct,Laurentian,0,0,0,2,0,0,0,0,0,2,,,,,,,,,,,,,,
Brent Baltus,11-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Brent Baltus,12-Oct,Minn.Duluth,0,0,0,2,0,0,0,0,0,2,,,,,,,,,,,,,,
Brent Baltus,18-Oct,NotreDame,0,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Brent Baltus,20-Oct,NotreDame,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Brent Baltus,25-Oct,NorthernMich.,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,
Brent Baltus,26-Oct,NorthernMich.,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Brent Baltus,1-Nov,Michigan,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Brent Baltus,2-Nov,Michigan,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,0
Jimmy Davis,11-Oct,Minn.Duluth,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Jimmy Davis,12-Oct,Minn.Duluth,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Jimmy Davis,18-Oct,NotreDame,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Jimmy Davis,20-Oct,NotreDame,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Jimmy Davis,25-Oct,NorthernMich.,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Jimmy Davis,26-Oct,NorthernMich.,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Jimmy Davis,1-Nov,Michigan,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Jimmy Davis,2-Nov,Michigan,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Blake Hietala,5-Oct,Laurentian,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Blake Hietala,11-Oct,Minn.Duluth,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Blake Hietala,12-Oct,Minn.Duluth,0,1,1,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Blake Hietala,18-Oct,NotreDame,0,0,0,2,0,0,0,0,0,3,,,,,,,,,,,,,,
Blake Hietala,20-Oct,NotreDame,0,2,2,2,0,0,0,0,0,1,,,,,,,,,,,,,,
Blake Hietala,25-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Blake Hietala,26-Oct,NorthernMich.,2,0,2,0,1,0,0,1,0,3,,,,,,,,,,,,,,
Blake Hietala,1-Nov,Michigan,0,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,
Blake Hietala,2-Nov,Michigan,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,
CJ Eick,5-Oct,Laurentian,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
CJ Eick,11-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
CJ Eick,12-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
CJ Eick,18-Oct,NotreDame,1,0,1,0,0,1,0,0,0,3,,,,,,,,,,,,,,
CJ Eick,20-Oct,NotreDame,0,0,0,10,0,0,0,0,0,1,,,,,,,,,,,,,,
CJ Eick,25-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
CJ Eick,26-Oct,NorthernMich.,0,0,0,2,0,0,0,0,0,1,,,,,,,,,,,,,,
CJ Eick,1-Nov,Michigan,1,0,1,0,0,1,0,0,0,2,,,,,,,,,,,,,,
CJ Eick,2-Nov,Michigan,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Justin Fillion,5-Oct,Laurentian,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Justin Fillion,11-Oct,Minn.Duluth,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Justin Fillion,12-Oct,Minn.Duluth,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Justin Fillion,18-Oct,NotreDame,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Justin Fillion,20-Oct,NotreDame,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Justin Fillion,25-Oct,NorthernMich.,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Justin Fillion,26-Oct,NorthernMich.,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Justin Fillion,1-Nov,Michigan,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Justin Fillion,2-Nov,Michigan,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Ryan Furne,5-Oct,Laurentian,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Ryan Furne,11-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Ryan Furne,12-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Ryan Furne,18-Oct,NotreDame,1,0,1,2,1,0,0,0,0,3,,,,,,,,,,,,,,
Ryan Furne,20-Oct,NotreDame,0,0,0,12,0,0,0,0,0,0,,,,,,,,,,,,,,
